,GEO,JRC
296,761.0,1510.0
297,1066.0,2234.0
298,1087.0,2273.0
299,9.0,14.0
300,32.0,52.0
301,97.0,182.0
302,210.0,387.0
303,555.0,964.0
304,662.0,1305.0
305,731.0,1462.0
306,995.0,2037.0
307,1005.0,2064.0
308,1293.0,2771.0
309,1331.0,2930.0
310,1340.0,2973.0
311,143.0,239.0
312,199.0,355.0
313,336.0,541.0
314,348.0,566.0
315,394.0,632.0
316,584.0,1011.0
317,743.0,1484.0
318,980.0,1946.0
319,1000.0,2052.0
320,1083.0,2261.0
321,1121.0,2305.0
322,1206.0,2516.0
323,1297.0,2815.0
324,1393.0,3116.0
325,1512.0,3474.0
326,1521.0,3555.0
327,1530.0,3499.0
328,1532.0,3556.0
329,16.0,22.0
330,29.0,49.0
331,35.0,57.0
332,36.0,58.0
333,125.0,212.0
334,172.0,309.0
335,211.0,401.0
336,215.0,409.0
337,220.0,422.0
338,222.0,432.0
339,239.0,445.0
340,322.0,527.0
341,518.0,852.0
342,831.0,1689.0
343,945.0,1863.0
344,1052.0,2205.0
345,1078.0,2253.0
346,1115.0,2289.0
347,1133.0,2319.0
348,1154.0,2374.0
349,1163.0,2410.0
350,1228.0,2586.0
351,1387.0,3097.0
352,1388.0,3104.0
353,1424.0,3250.0
354,1453.0,3323.0
355,1454.0,3324.0
356,142.0,1235.0
357,181.0,1227.0
358,380.0,613.0
359,538.0,1228.0
360,664.0,485.0
361,665.0,2218.0
362,859.0,484.0
363,903.0,1231.0
364,1162.0,2395.0
365,1210.0,1233.0
366,1337.0,2952.0
367,1381.0,1236.0
368,1450.0,1238.0
369,91.0,163.0
370,148.0,252.0
371,368.0,595.0
372,369.0,569.0
373,733.0,1468.0
374,923.0,1824.0
375,1044.0,2180.0
376,1085.0,2269.0
377,1128.0,2315.0
378,1421.0,3229.0
379,1531.0,3500.0
380,282.0,3554.0
381,331.0,536.0
382,385.0,625.0
383,533.0,892.0
384,636.0,1216.0
385,643.0,1239.0
386,654.0,1289.0
387,745.0,1486.0
388,750.0,1512.0
389,753.0,1508.0
390,769.0,1565.0
391,838.0,1696.0
392,840.0,1697.0
393,879.0,1764.0
394,946.0,1860.0
395,1008.0,2071.0
396,1012.0,2075.0
397,1029.0,2143.0
398,1130.0,2318.0
399,1213.0,2529.0
400,1335.0,2966.0
401,1392.0,3115.0
402,66.0,113.0
403,83.0,150.0
404,171.0,312.0
405,372.0,598.0
406,381.0,620.0
407,484.0,763.0
408,510.0,828.0
409,758.0,1515.0
410,901.0,1793.0
411,909.0,1797.0
412,918.0,1816.0
413,924.0,1826.0
414,930.0,1836.0
415,970.0,1922.0
416,1046.0,2183.0
417,1098.0,2282.0
418,1298.0,2817.0
419,1481.0,3373.0
420,1482.0,3376.0
421,1484.0,3377.0
422,1526.0,3495.0
423,18.0,33.0
424,21.0,40.0
425,27.0,3330.0
426,58.0,98.0
427,242.0,449.0
428,374.0,601.0
429,688.0,1339.0
430,1171.0,2451.0
431,1230.0,2591.0
432,1246.0,2626.0
433,1283.0,2742.0
434,1347.0,3017.0
435,1456.0,3328.0
436,17.0,28.0
437,37.0,3503.0
438,103.0,190.0
439,128.0,217.0
440,156.0,290.0
441,512.0,834.0
442,539.0,894.0
443,606.0,1103.0
444,630.0,1195.0
445,631.0,1268.0
446,718.0,1422.0
447,751.0,1514.0
448,757.0,1504.0
449,776.0,1584.0
450,793.0,1630.0
451,824.0,1665.0
452,828.0,1683.0
453,939.0,1852.0
454,941.0,1856.0
455,949.0,1878.0
456,987.0,2095.0
457,991.0,2096.0
458,1021.0,2135.0
459,1124.0,2306.0
460,1125.0,2307.0
461,1181.0,2473.0
462,1262.0,2697.0
463,1322.0,2866.0
464,1327.0,2915.0
465,1328.0,2917.0
466,1341.0,2978.0
467,1399.0,3134.0
468,1430.0,3271.0
469,1452.0,3311.0
470,1470.0,3348.0
471,0.0,2.0
472,219.0,419.0
473,260.0,470.0
474,267.0,493.0
475,324.0,529.0
476,431.0,666.0
477,491.0,782.0
478,528.0,928.0
479,534.0,890.0
480,562.0,974.0
481,575.0,1815.0
482,576.0,990.0
483,583.0,1009.0
484,600.0,1093.0
485,635.0,1212.0
486,661.0,1303.0
487,728.0,1454.0
488,764.0,1517.0
489,835.0,1687.0
490,836.0,3066.0
491,974.0,1973.0
492,988.0,1993.0
493,998.0,2046.0
494,1184.0,2477.0
495,1271.0,2717.0
496,1317.0,2850.0
497,1321.0,2865.0
498,1353.0,3033.0
499,1445.0,3292.0
500,1448.0,3298.0
501,1524.0,3490.0
502,326.0,532.0
503,361.0,588.0
504,496.0,788.0
505,516.0,846.0
506,847.0,2801.0
