CARMA,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,DateIn,DateIn,DateIn,DateIn,DateRetrofit,DateRetrofit,DateRetrofit,DateRetrofit,DateMothball,DateMothball,DateMothball,DateMothball,DateOut,DateOut,DateOut,DateOut,lat,lat,lat,lat,lon,lon,lon,lon,EIC,EIC,EIC,EIC,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Plastira,Plastiras,Plastira,Plastiras plastiras plastira greece,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Greece,Greece,Greece,Greece,112.72317855266449,130.0,128.24522292993632,130.0,,,,,0.0,0.0,0.0,3015.3846153846152,0.0,0.0,0.0,400.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,392000.0,,,1960.0,,,,1962.0,,,,,,,,,,39.36555560000001,39.297222,39.2361,39.2361,21.9216667,21.7525,21.7462,21.7462,[nan],['29WYISNPLASTIRAF'],[nan],[nan],['CARMA34905'],['29WYISNPLASTIRAF'],['GEO42795'],['H391']
9,Platanovrisi,Platanovrysi,Platanovrisi,Platanovrysi platanovrysi platanovrisi greece,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Greece,Greece,Greece,Greece,106.51008997102157,116.0,120.44585987261146,116.0,,,,,0.0,0.0,0.0,94.82758620689656,0.0,0.0,0.0,57.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,11000.0,,,1999.0,,,,1999.0,,,,,,,,,,41.1666667,38.1359122,41.3355,41.3355,24.3833333,21.760912899999997,24.4621,24.4621,[nan],['29WYISPLATANOVRH'],[nan],[nan],['CARMA34909'],['29WYISPLATANOVRH'],['GEO42796'],['H441']
10,Plate taille,Plate taille,Plate taille belgeium,Plate taille plate taille plate taille belgeium,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,Store,Store,Belgium,Belgium,Belgium,Belgium,121.82526630672402,144.0,136.16091156926424,144.0,,,,,0.0,0.0,0.0,4.930555555555555,0.0,0.0,0.0,68.4,0.0,0.0,0.0,70.0,0.0,0.0,0.0,710.0,,,1981.0,,,,1981.0,,,,,,,,,,50.2284848582529,50.185752799999996,50.1884,50.185752799999996,4.37753677368164,4.3823302,4.3861,4.3823302,[nan],['22WPLATEX000208N'],[nan],[nan],['CARMA23845'],['22WPLATEX000208N'],['GEO41971'],['H347']
11,Plavinas,Plavinas,Plavinas latvia,Plavinas hpp plavinas hpp plavinas latvia,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Latvia,Latvia,Latvia,Latvia,739.6534025765387,894.0,872.2452229299363,884.0,,,,,0.0,0.0,0.0,52.40950226244344,0.0,0.0,0.0,510.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,46330.0,,,1968.0,,,,1991.0,,,,,,,,,,56.604767609930605,56.6182449,56.583,56.583,25.2553367614746,25.725792000000002,25.2394,25.2394,[nan],['43W-PLAV-HPP---J'],[nan],[nan],['CARMA34922'],['43W-PLAV-HPP---J'],['GEO42156'],['H25']
12,Pocinho,Pocinho,Pocinho,Pocinho pocinho pocinho,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,Portugal,Portugal,Portugal,Portugal,161.85356809321905,186.0,126.05562025428326,186.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1982.0,,,,1982.0,,,,,,,,,,41.130148,41.1296104,41.1343,41.1343,-7.120227000000001,-7.1235678999999985,-7.1141,-7.1141,[nan],['16WPOCINHO-----S'],[nan],[nan],['CARMA35024'],['16WPOCINHO-----S'],['GEO43536'],['H263']
13,Porabka,Porąbka żar,Porabka,Porabka porabka porabka,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,Store,Poland,Poland,Poland,Poland,445.92398370629087,540.0,485.220433394694,551.0,,,,,0.0,0.0,0.0,3.629764065335753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,2000.0,,,1953.0,,,,1998.0,,,,,,,,,,49.8171638890921,49.779579999999996,49.7941,49.7888983,19.218349456787102,19.2120064,19.20674,19.206831550000004,"[nan, nan]",['19W000000000247X'],"[nan, nan]","[nan, nan]","['CARMA35310', 'CARMA35311']",['19W000000000247X'],"['GEO42472', 'GEO42466']","['H1649', 'H50']"
14,Porjus nya,Porjus,Porjus,Porjus porjus porjus,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,417.6866273373395,440.0,459.07643312101914,455.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,,,1915.0,,,,1982.0,,,,,,,,,,66.95926996026961,66.9592437,66.959,66.95428100000001,19.8207092285156,19.821773,19.80232,19.796076,[nan],['46WPU0000000028N'],[nan],[nan],['CARMA35333'],['46WPU0000000028N'],['GEO42910'],['H68']
15,Porsi,Porsi,Porsi,Porsi porsi porsi,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,220.7647861572563,275.0,278.4076433121019,274.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1964.0,,,,1987.0,,,,,,,,,,66.4303768346073,66.46534270000001,66.42882,66.428961,20.624341964721697,20.641837699999996,20.65176,20.653796,[nan],['46WPU0000000036O'],[nan],[nan],['CARMA35341'],['46WPU0000000036O'],['GEO46241'],['H175']
16,Portile fier,Portile fier,Iron gate,Cheportiledefier pfieri ca iron gate romania,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Romania,Romania,Romania,Romania,1117.311728127383,1406.4,1151.1464968152866,1165.8000000000004,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,,,1972.0,,,,1999.0,,,,,,,,,,44.631944399999995,44.67137719999999,44.6733,44.673,22.6561111,22.5286426,22.531999999999996,22.531999999999996,[nan],"['30W-CHE-PDF1---A', '30W-CHE-PDF2---5']",[nan],[nan],['CARMA35441'],"['30W-CHE-PDF2---5', '30W-CHE-PDF1---A']",['GEO40975'],['H8']
17,Pouget,Pouget,Pouget le,Pouget pouget pouget le,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,France,France,France,France,362.08209507305617,446.9,565.2070063694267,445.0,,,,,0.0,0.0,0.0,1.5730337078651686,0.0,0.0,0.0,10.9,0.0,0.0,0.0,461.2,0.0,0.0,0.0,700.0,,,1951.0,,,,,,,,,,,,,,44.049403999999996,43.59246599999999,44.06,43.656040000000004,2.755276,3.523704,2.7689999999999997,3.4017800000000005,"[nan, nan]",['17W100P100P0290A'],[nan],[nan],"['CARMA35556', 'CARMA24759']",['17W100P100P0290A'],['GEO39723'],['H73']
18,Pournari,Pournari,Poyrnari,Pournari,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Greece,Greece,Greece,Greece,296.73154150423494,334.0,296.1783439490446,334.0,,,,,0.0,0.0,0.0,149.7005988023952,0.0,0.0,0.0,730.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,50000.0,,,1981.0,,,,1981.0,,,,,,,,,,39.1605556,39.7743331,39.1845,39.1845,20.985277800000002,22.575228600000003,21.0255,21.0255,[nan],"['29WYISPOURNARI-P', '29WYISPOURNARIIO']",[nan],[nan],['CARMA35560'],"['29WYISPOURNARI-P', '29WYISPOURNARIIO']",['GEO42799'],['H124']
19,Pragneres,Pragneres,Pragneres,Pragneres,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Reservoir,PP,PP,Store,Store,France,France,France,France,169.07606602426057,189.2,276.10407068211913,189.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,,,1953.0,,,,,,,,,,,,,,42.787162,42.81933600000001,42.821000000000005,42.8211,0.018884,0.0113709,0.01,0.010329999999999999,[nan],['17W100P100P02918'],[nan],[nan],['CARMA35658'],['17W100P100P02918'],['GEO39776'],['H257']
20,Presenzano,Presenzano,Presenzano domenico cimarosa,Presenzano presenzan presenzano domenico cimarosa italy,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,Store,Store,Italy,Italy,Italy,Italy,870.1804736194573,1005.0,945.5618858976683,1005.0,,,,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0,15075.0,,,1991.0,,,,1991.0,,,,,,,,,,41.376619,41.375996,41.38158,41.380906,14.07642,14.077972599999999,14.09034,14.091460000000001,[nan],['26WIMPI-S15PRSN8'],[nan],[nan],['CARMA35733'],['26WIMPI-S15PRSN8'],['GEO45430'],['H14']
21,Oraison,Oraison,Oraison,Oraison oraison oraison,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,Store,France,France,France,France,167.50974117174553,187.0,132.15508575045826,187.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,,,1962.0,,,,,,,,,,,,,,43.966666700000005,43.914706,43.92100000000001,43.921009999999995,5.7833333,5.921487,5.925,5.92438,[nan],['17W100P100P0288Y'],[nan],[nan],['CARMA32690'],['17W100P100P0288Y'],['GEO39706'],['H260']
22,Namforsen,Nämforsen,Namforsen,Nämforsen namforsen namforsen,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,98.33039351899868,113.0,77.93761467334717,113.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,,,1946.0,,,,1973.0,,,,,,,,,,63.4333333,63.45,63.4402,64.0448895,16.9,16.9500001,16.8804,17.692220499999898,[nan],['46WPU0000000046L'],[nan],[nan],['CARMA30345'],['46WPU0000000046L'],['GEO46250'],['H489']
23,Revin,Revin,Revin,Revin revin revin pump,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,Store,Store,France,France,France,France,697.8847398428047,808.0,1512.8990174362693,808.0,,,,,0.0,0.0,0.0,5.573019801980198,0.0,0.0,0.0,8.7,0.0,0.0,0.0,233.0,0.0,0.0,0.0,4503.0,,,1976.0,,,,1974.0,,,,,,,,,,49.9403942274298,49.941893,49.915685,49.92556,4.63502883911133,4.637199,4.6195,4.61331,[nan],['17W100P100P02780'],"[nan, nan]",[nan],['CARMA37152'],['17W100P100P02780'],"['GEO39715', 'GEO45157']",['H29']
