id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
2367,Cijara,Hydro,Reservoir,Store,Spain,102.0,,2901.9607843137255,1505.0,46.0,296000.0,,,,,39.373001,-5.016,[nan],"{'JRC': ['H506'], 'CARMA': ['CARMA8685']}"
2368,Cindesti,Hydro,Run-Of-River,Store,Romania,11.45,,0.0,0.0,0.0,0.0,,,,,45.272651,26.70468,[nan],"{'JRC': ['H3364'], 'CARMA': ['CARMA8711', 'CARMA8729']}"
2369,Clabucet,Hydro,Reservoir,Store,Romania,64.0,,0.0,0.0,0.0,0.0,,,,,45.5661,25.0937,[nan],"{'JRC': ['H3369'], 'CARMA': ['CARMA8768']}"
2370,Clemgia,Hydro,Run-Of-River,Store,Switzerland,1.9,,0.0,0.0,0.0,0.0,,,,,46.7884940361,10.296917759,[nan],"{'JRC': ['H2219'], 'CARMA': ['CARMA8849']}"
2371,Contreras,Hydro,Reservoir,Store,Spain,75.0,,7.32,852.0,236.46465951673343,549.0,,,,,39.545417,-1.502917,[nan],"{'JRC': ['H638'], 'CARMA': ['CARMA9276', 'CARMA9277']}"
2372,Clopotiva,Hydro,Run-Of-River,Store,Romania,14.0,,0.0,0.0,0.0,0.0,,,,,45.498403,22.842011,[nan],"{'JRC': ['H3381'], 'CARMA': ['CARMA8891']}"
2373,Clunie cascade clun,Hydro,Reservoir,Store,United Kingdom,61.0,,0.0,36.359,21.0,0.0,,,,,56.771999,-3.353,[nan],"{'JRC': ['H725'], 'CARMA': ['CARMA8910']}"
2374,Colibita,Hydro,Reservoir,Store,Romania,21.0,,0.0,75.22,92.0,0.0,,,,,47.165417,24.877917,[nan],"{'JRC': ['H1365'], 'CARMA': ['CARMA9044']}"
2375,Combe garot,Hydro,Run-Of-River,Store,Switzerland,4.86,,0.0,0.0,0.0,0.0,,,,,46.9623191064,6.79639758751,[nan],"{'JRC': ['H2021'], 'CARMA': ['CARMA60916']}"
2376,Las conchas,Hydro,Reservoir,Store,Spain,49.0,,0.0,0.0,0.0,0.0,,,,,41.943999999999996,-8.035,[nan],"{'JRC': ['H859'], 'CARMA': ['CARMA24538']}"
