,ENTSOE,JRC
454,1045,2289
455,1117,2410
456,1197,2586
457,1412,3097
458,1455,3250
459,148,1227
460,503,1228
461,815,484
462,848,1231
463,1067,485
464,1114,2395
465,1163,1233
466,1296,1235
467,1310,2952
468,1396,1236
469,1474,1238
470,593,569
471,1126,2439
472,501,892
473,805,1697
474,1531,3554
475,595,828
476,597,3495
477,1530,150
478,18,21
479,135,296
480,571,1054
481,916,1931
482,1334,3016
483,1339,3024
484,107,190
485,113,217
486,486,834
487,504,894
488,585,1102
489,586,1103
490,615,1195
491,631,1268
492,632,1269
493,679,1360
494,680,1361
495,705,1422
496,726,1485
497,749,1504
498,751,1514
499,755,1545
500,779,1610
501,782,1630
502,793,1665
503,800,1683
504,879,1852
505,882,1856
506,969,2095
507,973,2131
508,1065,2306
509,1066,2307
510,1141,2473
511,1227,2697
512,1285,2856
513,1287,2866
514,1299,2917
515,1328,2994
516,1411,3091
517,1426,3134
518,1427,3140
519,1461,3271
520,1475,3311
521,1526,3503
522,13,17
523,404,708
524,550,990
525,716,1687
526,1128,2442
527,214,436
528,266,500
529,312,532
530,432,732
531,454,772
532,467,788
533,476,793
534,490,846
535,511,914
536,536,959
537,563,1023
538,651,1308
539,925,1994
540,1110,2387
541,1237,2847
542,1240,2722
543,1259,2801
544,1280,2845
545,1428,3142
