projectID,formatted_address,geometry,place_name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
50WP00000000665K,"Agder, Norway","{'bounds': {'northeast': {'lat': 59.6726869, 'lng': 9.6688766}, 'southwest': {'lat': 57.7590051, 'lng': 6.149705}}, 'location': {'lat': 58.50320840000001, 'lng': 7.7571974}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 59.6726869, 'lng': 9.6688766}, 'southwest': {'lat': 57.7590051, 'lng': 6.149705}}}",,10,ChIJD0JSTvhPOEYR8vitVnMQwW0,FALSE,4,geocode,BUST,"Steinsfoss, Norway",1/29/2021 19:49,0.133333333,"['administrative_area_level_1', 'political']"
50WP00000000667G,"5379 Steinsland, Norway","{'location': {'lat': 60.1756486, 'lng': 4.977886799999999}, 'viewport': {'northeast': {'lat': 60.2207202, 'lng': 5.1374621}, 'southwest': {'lat': 60.1246579, 'lng': 4.8080415}}}",Steinsland,1,ChIJg1yQZJrrPEYRgeMMMeI7Eeg,TRUE,2,find_place,OK,"Steinsland, Norway",1/29/2021 19:49,1,['postal_town']
30W-CHE-SUGAG--7,"Șugag 517775, Romania","{'location': {'lat': 45.7776871, 'lng': 23.6206131}, 'viewport': {'northeast': {'lat': 45.7862152, 'lng': 23.6372565}, 'southwest': {'lat': 45.7707636, 'lng': 23.605231}}}",Șugag,1,ChIJN3ZcQ986TEcRmwzGxqGMAQk,TRUE,2,find_place,OK,"Sugag, Romania",1/29/2021 19:49,0.8,"['locality', 'political']"
47W000000000162N,"Tarbert Island, Tarbert, Co. Kerry, Ireland","{'location': {'lat': 52.5889003, 'lng': -9.3639387}, 'viewport': {'northeast': {'lat': 52.59008107989272, 'lng': -9.362760920107279}, 'southwest': {'lat': 52.58738142010728, 'lng': -9.365460579892723}}}",Tarbert Power Station,1,ChIJi1EyuqrYWkgRqYpjfGrB80E,TRUE,1,find_place,OK,"Tarbert Production power station, Ireland",1/29/2021 19:49,0.636363636,"['point_of_interest', 'establishment']"
14W-KW-THE-EVN-7,"Ludwig Brucknerstraße 1, 3494, Austria","{'location': {'lat': 48.394813, 'lng': 15.7083593}, 'viewport': {'northeast': {'lat': 48.39604787989272, 'lng': 15.70968127989272}, 'southwest': {'lat': 48.39334822010728, 'lng': 15.70698162010728}}}",Theiss power station - EVN AG,1,ChIJO4Gk-UKCckcRaKjizOTgXdw,TRUE,1,find_place,OK,"Kraftwerk Theiss gas-fired power station, Austria",1/29/2021 19:49,0.444444444,"['point_of_interest', 'establishment']"
50WP00000000741U,"Pulpit Rock, Strand, Norway","{'location': {'lat': 58.98641, 'lng': 6.190439599999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 58.9921586, 'lng': 6.206447}, 'southwest': {'lat': 58.9806605, 'lng': 6.1744322}}}",,10,ChIJCetU9hvVO0YRi7ejv73mg0o,FALSE,4,geocode,BUST,"Tjodan, Norway",1/29/2021 19:49,0.333333333,"['establishment', 'natural_feature']"
16WTORRAO------V,"Torrão, Portugal","{'location': {'lat': 38.2945393, 'lng': -8.2238261}, 'viewport': {'northeast': {'lat': 38.3535907, 'lng': -8.129696299999999}, 'southwest': {'lat': 38.1783633, 'lng': -8.4654018}}}",Torrão,1,ChIJz8HfWLMmGg0RV0H1-wD7oi0,TRUE,2,find_place,OK,"Torrao, Portugal",1/29/2021 19:49,0.833333333,"['locality', 'political']"
18WASC2-12345-0P,"43791 Ascó, Tarragona, Spain","{'location': {'lat': 41.1827575, 'lng': 0.5671571}, 'viewport': {'northeast': {'lat': 41.1868415, 'lng': 0.5696774}, 'southwest': {'lat': 41.1768125, 'lng': 0.5636074}}}",Ascó,1,ChIJnWJgG2HWoBIRKMv3jPCfywY,TRUE,2,find_place,OK,"Asco, Spain",1/29/2021 20:31,0.75,"['locality', 'political']"
26WIMPI-S13BLSRW,"67052 Balsorano, Province of L'Aquila, Italy","{'location': {'lat': 41.7917551, 'lng': 13.5784012}, 'viewport': {'northeast': {'lat': 41.8509524, 'lng': 13.6428931}, 'southwest': {'lat': 41.75429219999999, 'lng': 13.520216}}}",Balsorano,1,ChIJ3TBe8ZgBMBMREOk5sppPCQQ,TRUE,2,find_place,OK,"Balsorano, Italy",1/29/2021 20:31,1,"['administrative_area_level_3', 'political']"
33W-TEC-BITOLA-F,"Bitola, North Macedonia","{'location': {'lat': 41.0296773, 'lng': 21.3292164}, 'viewport': {'northeast': {'lat': 41.048879, 'lng': 21.3622927}, 'southwest': {'lat': 41.0027271, 'lng': 21.2948782}}}",Bitola,1,ChIJ_bZfNlEkVxMRSMm-Zb-7Z_o,TRUE,2,find_place,OK,"Bitola, Macedonia, Republic of",1/29/2021 20:31,1,"['locality', 'political']"
