projectID,best_match,compound_code,formatted_address,global_code,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-S16CNDLL,,,"SP102, 71024 Deliceto FG, Italy",,,,Centrale Edison Candela,1,,ChIJme7555XAORMR24hASUEeZmY,,True,,1,find_place,OK,"Candela gas-fired power station, Italy",1/29/2021 17:27,0.46666666700000003,"['point_of_interest', 'establishment']",41.2015151,15.4766578,https://www.google.com/maps/place/?q=place_id:ChIJme7555XAORMR24hASUEeZmY
18WDUEB-12345-0Z,,,Douro River,,,,Douro River,1,,ChIJ3VfstQ1nOQ0Ry_OLW8CmvJg,,False,,3,find_place,BUST,"Duero, Spain",1/29/2021 17:27,0.5,"['natural_feature', 'establishment']",41.5012768,-5.5122932,https://www.google.com/maps/place/?q=place_id:ChIJ3VfstQ1nOQ0Ry_OLW8CmvJg
26WIMPI-0043227A,,,"03040 San Vittore del Lazio, Province of Frosinone, Italy",,,,San Vittore del Lazio,1,,ChIJOTrCP-GVOhMRzZ1H0SYJ6PQ,,True,,7,find_place,OK,"Vittore, Italy",1/29/2021 17:27,0.731707317,"['locality', 'political']",41.4601815,13.9319409,https://www.google.com/maps/place/?q=place_id:ChIJOTrCP-GVOhMRzZ1H0SYJ6PQ
26WIMPI-S03BBSR5,,,"Via Luigi Goltara, 24127 Bergamo BG, Italy",,,,Bergamo ecological Platform,1,,ChIJ3eoAeY1RgUcRAtLL9O1Os-s,,False,,3,find_place,BUST,"Goltara, Italy",1/29/2021 17:28,0.341463415,"['point_of_interest', 'establishment']",45.6702698,9.6389877,https://www.google.com/maps/place/?q=place_id:ChIJ3eoAeY1RgUcRAtLL9O1Os-s
38W-MT--AREJ---M,,,"Kirdalu, 75505 Harju maakond, Estonia",,,,Kiisa AREJ,1,,ChIJpYyBfNTGkkYRj20ASSqs5oM,,True,,1,find_place,OK,"Kiisa Arej gas-fired power station, Estonia",1/29/2021 17:28,1.0,"['point_of_interest', 'establishment']",59.2442187,24.7038979,https://www.google.com/maps/place/?q=place_id:ChIJpYyBfNTGkkYRj20ASSqs5oM
11WD4KKP21N-S--O,,,"Rheinschanzinsel, 76661 Philippsburg, Germany",,,,Philippsburg Nuclear Power Plant,1,,ChIJmdqefqOxl0cRcKEhAzxX1NU,,True,,1,find_place,OK,"Kkw Philippsburg nuclear plant, Germany",1/29/2021 17:28,0.571428571,"['point_of_interest', 'establishment']",49.2516248,8.439872,https://www.google.com/maps/place/?q=place_id:ChIJmdqefqOxl0cRcKEhAzxX1NU
46WPU0000000031Y,,,"962 99 Ligga, Sweden",,,,Ligga,1,,ChIJSYCV0T-v10URYdaoRxz154U,,True,,2,find_place,OK,"Ligga, Sweden",1/29/2021 17:28,1.0,"['locality', 'political']",66.7799974,19.9430221,https://www.google.com/maps/place/?q=place_id:ChIJSYCV0T-v10URYdaoRxz154U
26WIMPI-S03XMCMK,,,"23020 Mese, Province of Sondrio, Italy",,,,Mese,1,,ChIJ21QrD4xnhEcRcO5mLgJ4BgQ,,True,,2,find_place,OK,"Mese, Italy",1/29/2021 17:28,1.0,"['administrative_area_level_3', 'political']",46.3071989,9.3796072,https://www.google.com/maps/place/?q=place_id:ChIJ21QrD4xnhEcRcO5mLgJ4BgQ
11WD2SRKW000345J,,,"Sandreuth, Nuremberg, Germany",,,,Sandreuth,1,,ChIJKxd-rh1Xn0cRQW9P3FXoZj8,,True,,2,find_place,OK,"Nürnberg Sandreuth, Germany",1/29/2021 17:28,0.666666667,"['sublocality_level_2', 'sublocality', 'political']",49.4311763,11.0599027,https://www.google.com/maps/place/?q=place_id:ChIJKxd-rh1Xn0cRQW9P3FXoZj8
12W-0000000031-O,,,"Grimselstrasse 19, 3862 Innertkirchen, Switzerland",,,,"Kraftwerke Oberhasli AG, KWO",1,,ChIJ-wakVkaPj0cRR_ZImw36nHg,,True,,1,find_place,OK,"Kw Oberhasli Ag Kwo hydroelectric dam, Switzerland",1/29/2021 17:28,0.65,"['point_of_interest', 'establishment']",46.7010666,8.2329054,https://www.google.com/maps/place/?q=place_id:ChIJ-wakVkaPj0cRR_ZImw36nHg
