word_string,word_type,retain_in_name,retain_in_keyword,English Meaning,Language,Vintage,Info source / Comment
nord,GEO,,,,,ORIG,
nordsee,GEO,,,,,,
north,GEO,,,,,,
northern,GEO,,,,,,
norway,CNTRY,,,,,,
nova,SUB,,,,,,
nuclear,FUEL,,,,,,
nuova,SUB,,,,,ORIG,
ocgt,TECH,,,,,,
of,PREP,,,,,,
ohu,UNK,,,,,,
oil,FUEL,,,,,,
on,PREP,,,,,,
ostsee,GEO,,,,,,
papelera,SITE,,,paper bin,,,
parco,SUB,,,,,,Unclear whether public park or solar park
park,SUB,,,,,ORIG,Unclear whether public park or solar park
park,SUB,,,,,,Unclear whether public park or solar park
park,SUB,,,,,,Unclear whether public park or solar park
peaking,TECH,,,,,,
phase,POW,,,,,,
plant,POW,,,,,,
planta,POW,,,,,,
poland,CNTRY,,,,,,
pont,SUB,,,,,,
ponte,SUB,,,,,ORIG,
pool,SUB,,,,,,
poqwer,TYPO,,,,,,
porto,SUB,,,,,,
portugal,CNTRY,,,,,,
power,POW,,,,,,
prod,POW,,,,,ORIG,
production,POW,,,,,ORIG,
project,POW,,,,,,
ps,ABB,,,power station,,,
psw,ABB,,,,,,
puente,SUB,,,bridge,,,
pumped,TECH,,,,,,
purines,SITE,,,slurry,,,
quarry,SITE,,,,,,
raffineriekraftwerk,POW,,,refinery power plant,German,,
rc,UNK,,,,,,
rebuild,UNK,,,,,,
refinery,SITE,,,,,,
republic,UNK,1,,,,,
resubmission,UNK,,,,,,
rio,GEO,,,,,,
road,SUB,,,,,,
romania,CNTRY,,,,,,
rwe,OWN,,,,,,
saint,SUB,,,,,ORIG,
salto,SUB,1,1,jump?,,,
san,SUB,,,,,ORIG,
santa,SUB,,,,,,
satriano,GEO,,1,,,ORIG,
scheme,POW,,,,,,
scotland,CNTRY,,,,,,
serbia,CNTRY,,,,,,
serra,SUB,,,,,ORIG,
sewage,SITE,,,,,,
shutdown,POW,,,,,,
sierra,SUB,,,,,,
site,SITE,,,,,,
slovakia,CNTRY,,,,,,
slovenia,CNTRY,,,,,,
solar,FUEL,,,,,,
south,GEO,,,,,,
spa,COMP,,,,,,
spain,CNTRY,,,,,,
srl,COMP,,,,,,"a designation equivalent to limited liability company, that may be appended to the end of company names:

    Società a responsabilità limitata (Italian)
    Sociedad de responsabilidad limitada (Spanish)
    Societate cu răspundere limitată (Romanian)
    Société à Responsabilité Limitée (French)"
st,SUB,,,,,ORIG,
station,POW,,,,,,
storage,TECH,,,,,,
sud,GEO,,,,,ORIG,
süd,GEO,,,,,,
sugar,SITE,,,,,,
super,GEO,,,,,,
sur,SUB,,,,,,
sweden,CNTRY,,,,,,
switzerland,CNTRY,,,,,,
szabályozási,POW,1,1,regulatory,,ORIG,
te,UNK,,,,,ORIG,
tel,POW,,,,,,termoelettrica
termoelettrica,POW,,,,,,
termovalorizzatore,FUEL,,,waste-to-energy plant,Italian,,
tgv,TECH,,,"TGV	Turbine à Géométrie Variable (French: variable geometry turbine)",,,
the,PREP,,,,,,
thermal,TECH,,,,,,
to,PREP,,,,,,
tpp,ABB,,,thermal power plant?,,ORIG,
tratamiento,SITE,,,treatment,,,
tratamiento de purines,POW,,,slurry treatment,,,
troia,UNK,1,,,,ORIG,
turbine,TECH,,,,,,
tws,UNK,,,,,,
uk,CNTRY,,,,,,
unit,POW,,,,,,
united kingdom,CNTRY,,,,,,
up,PREP,,,,,,
van,PREP,,,,,,
vento,FUEL,,,wind,Italian,ORIG,
vertedero,SITE,,,dump,,,
villa,SUB,,,,,,
wasserkraft,FUEL,,,hydropower,,,
wasserkraftanlage,FUEL,,,hydropower plant,,,
wasserkraftwerk,FUEL,,,hydroelectric power plant,,,
waste,FUEL,,,,,,
werk,POW,,,,,,
west,GEO,,,,,ORIG,
wind,FUEL,,,,,ORIG,
windfarm,POW,,,,,,
windpark,FUEL,,,,,ORIG,
wka,ABB,,,,,,
wkw,ABB,,,,,,
wood,SUB,,,,,,"Could be 'TECH', as indicator of fuel source"
works,SITE,,,,,,
wp,UNK,,,,,,
wpd,UNK,,,,,,
wpp,ABB,,,,,ORIG,
wte,ABB,,,waste-to-energy,,,
wtg,FUEL,,,wind turbine generator,,,
wwtp,ABB,,,waste-water treatment plant?,,,
zar,POW,,,heat,,,
