projectID,formatted_address,geometry,name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
26WIMPI-S12ADRR4,"00054 Fiumicino, Metropolitan City of Rome, Italy","{'location': {'lat': 41.7735409, 'lng': 12.2397117}, 'viewport': {'northeast': {'lat': 41.8046572, 'lng': 12.2692969}, 'southwest': {'lat': 41.7698561, 'lng': 12.2178327}}}",Fiumicino,1,ChIJ-xffVIH6JRMRiKazd9npF40,True,4,find_place,OK,"Fiumicino, Italy",1/29/2021 17:27,0.642857143,"['locality', 'political']"
26WIMPI-S11ACPNS,"Via Dante Alighieri, 27, 36065 Mussolente VI, Italy","{'location': {'lat': 45.7742118, 'lng': 11.8030405}, 'viewport': {'northeast': {'lat': 45.77551437989272, 'lng': 11.80394442989272}, 'southwest': {'lat': 45.77281472010728, 'lng': 11.80124477010728}}}",A.P.I. Applications Plastics Industriali Spa,1,ChIJRQY5QYzZeEcRgWE6fgxyxXw,False,3,find_place,BUST,"Api, Italy",1/29/2021 17:27,0.130434783,"['point_of_interest', 'establishment']"
26WIMPI-S16CNDLL,"SP102, 71024 Deliceto FG, Italy","{'location': {'lat': 41.20151509999999, 'lng': 15.4766578}, 'viewport': {'northeast': {'lat': 41.20248227989272, 'lng': 15.47743532989272}, 'southwest': {'lat': 41.19978262010727, 'lng': 15.47473567010728}}}",Centrale Edison Candela,1,ChIJme7555XAORMR24hASUEeZmY,True,1,find_place,OK,"Candela gas-fired power station, Italy",1/29/2021 17:27,0.46666666700000003,"['point_of_interest', 'establishment']"
18WDUEB-12345-0Z,Douro River,"{'location': {'lat': 41.5012768, 'lng': -5.512293199999999}, 'viewport': {'northeast': {'lat': 42.0427192, 'lng': -2.302446}, 'southwest': {'lat': 40.9685019, 'lng': -8.6820636}}}",Douro River,1,ChIJ3VfstQ1nOQ0Ry_OLW8CmvJg,False,3,find_place,BUST,"Duero, Spain",1/29/2021 17:27,0.5,"['natural_feature', 'establishment']"
26WIMPI-0043227A,"03040 San Vittore del Lazio, Province of Frosinone, Italy","{'location': {'lat': 41.4601815, 'lng': 13.9319409}, 'viewport': {'northeast': {'lat': 41.4666065, 'lng': 13.9405896}, 'southwest': {'lat': 41.4549211, 'lng': 13.9277327}}}",San Vittore del Lazio,1,ChIJOTrCP-GVOhMRzZ1H0SYJ6PQ,True,7,find_place,OK,"Vittore, Italy",1/29/2021 17:27,0.731707317,"['locality', 'political']"
26WIMPI-S03BBSR5,"Via Luigi Goltara, 24127 Bergamo BG, Italy","{'location': {'lat': 45.6702698, 'lng': 9.6389877}, 'viewport': {'northeast': {'lat': 45.67161857989272, 'lng': 9.640382579892723}, 'southwest': {'lat': 45.66891892010728, 'lng': 9.63768292010728}}}",Bergamo ecological Platform,1,ChIJ3eoAeY1RgUcRAtLL9O1Os-s,False,3,find_place,BUST,"Goltara, Italy",1/29/2021 17:28,0.341463415,"['point_of_interest', 'establishment']"
38W-MT--AREJ---M,"Kirdalu, 75505 Harju maakond, Estonia","{'location': {'lat': 59.2442187, 'lng': 24.7038979}, 'viewport': {'northeast': {'lat': 59.24565787989273, 'lng': 24.70533052989272}, 'southwest': {'lat': 59.24295822010728, 'lng': 24.70263087010728}}}",Kiisa AREJ,1,ChIJpYyBfNTGkkYRj20ASSqs5oM,True,1,find_place,OK,"Kiisa Arej gas-fired power station, Estonia",1/29/2021 17:28,1.0,"['point_of_interest', 'establishment']"
11WD4KKP21N-S--O,"Rheinschanzinsel, 76661 Philippsburg, Germany","{'location': {'lat': 49.25162479999999, 'lng': 8.439872}, 'viewport': {'northeast': {'lat': 49.25263767989271, 'lng': 8.440684449999997}, 'southwest': {'lat': 49.24993802010727, 'lng': 8.437434650000002}}}",Philippsburg Nuclear Power Plant,1,ChIJmdqefqOxl0cRcKEhAzxX1NU,True,1,find_place,OK,"Kkw Philippsburg nuclear plant, Germany",1/29/2021 17:28,0.5714285714285714,"['point_of_interest', 'establishment']"
46WPU0000000031Y,"962 99 Ligga, Sweden","{'location': {'lat': 66.7799974, 'lng': 19.9430221}, 'viewport': {'northeast': {'lat': 66.7843962, 'lng': 19.9590295}, 'southwest': {'lat': 66.7755978, 'lng': 19.9270147}}}",Ligga,1,ChIJSYCV0T-v10URYdaoRxz154U,True,2,find_place,OK,"Ligga, Sweden",1/29/2021 17:28,1.0,"['locality', 'political']"
26WIMPI-S03XMCMK,"23020 Mese, Province of Sondrio, Italy","{'location': {'lat': 46.3071989, 'lng': 9.379607199999999}, 'viewport': {'northeast': {'lat': 46.3243162, 'lng': 9.392559499999999}, 'southwest': {'lat': 46.2947335, 'lng': 9.353493499999999}}}",Mese,1,ChIJ21QrD4xnhEcRcO5mLgJ4BgQ,True,2,find_place,OK,"Mese, Italy",1/29/2021 17:28,1.0,"['administrative_area_level_3', 'political']"
11WD2SRKW000345J,"Sandreuth, Nuremberg, Germany","{'location': {'lat': 49.4311763, 'lng': 11.0599027}, 'viewport': {'northeast': {'lat': 49.441001, 'lng': 11.0633211}, 'southwest': {'lat': 49.428247, 'lng': 11.054932}}}",Sandreuth,1,ChIJKxd-rh1Xn0cRQW9P3FXoZj8,True,2,find_place,OK,"Nürnberg Sandreuth, Germany",1/29/2021 17:28,0.666666667,"['sublocality_level_2', 'sublocality', 'political']"
12W-0000000031-O,"Grimselstrasse 19, 3862 Innertkirchen, Switzerland","{'location': {'lat': 46.7010666, 'lng': 8.2329054}, 'viewport': {'northeast': {'lat': 46.70234937989272, 'lng': 8.23431737989272}, 'southwest': {'lat': 46.69964972010727, 'lng': 8.231617720107275}}}","Kraftwerke Oberhasli AG, KWO",1,ChIJ-wakVkaPj0cRR_ZImw36nHg,True,1,find_place,OK,"Kw Oberhasli Ag Kwo hydroelectric dam, Switzerland",1/29/2021 17:28,0.65,"['point_of_interest', 'establishment']"
26WIMPI-S03RCSL7,"14047 Resio, Province of Asti, Italy","{'location': {'lat': 44.8254715, 'lng': 8.2755569}, 'viewport': {'northeast': {'lat': 44.82702592989272, 'lng': 8.277403}, 'southwest': {'lat': 44.82432627010728, 'lng': 8.2742496}}}",Resio,1,ChIJtcVsemmOh0cRxgI1EbYEXIw,True,2,find_place,OK,"Resio, Italy",1/29/2021 17:28,1.0,"['locality', 'political']"
50WP00000000617V,"Valjord, 8226 Straumen, Norway","{'location': {'lat': 67.3601305, 'lng': 15.5887862}, 'viewport': {'northeast': {'lat': 67.36146832989272, 'lng': 15.59016272989272}, 'southwest': {'lat': 67.35876867010727, 'lng': 15.58746307010728}}}",Siso Energi AS,1,ChIJcxhaRcYq30URy4TzZYkPxuI,True,2,find_place,OK,"Siso, Norway",1/29/2021 17:28,0.444444444,"['point_of_interest', 'establishment']"
28W-G-000000080M,"Termoelekrarna Šoštanj, Cesta Lole Ribarja 18, 3325 Šoštanj, Slovenia","{'location': {'lat': 46.3740381, 'lng': 15.0514274}, 'viewport': {'northeast': {'lat': 46.37558437989272, 'lng': 15.05287992989272}, 'southwest': {'lat': 46.37288472010727, 'lng': 15.05018027010728}}}",Termoelektrarna Šoštanj d.o.o.,1,ChIJ1dNMcAheZUcRcuH6OwRWTZM,False,3,find_place,BUST,"Teš, Slovenia",1/29/2021 17:28,0.1875,"['point_of_interest', 'establishment']"
18WARRU1-1234-0J,"26151 Arrúbal, La Rioja, Spain","{'location': {'lat': 42.434452, 'lng': -2.2519623}, 'viewport': {'northeast': {'lat': 42.4376626, 'lng': -2.2456404}, 'southwest': {'lat': 42.4319315, 'lng': -2.2542871}}}",Arrúbal,1,ChIJHVTVbTmkWg0RrAAK7RCJqGE,True,2,find_place,OK,"Arrubal, Spain",1/29/2021 17:47,0.857142857,"['locality', 'political']"
50WP00000000872F,"Askara, 6737 Ålfoten, Norway","{'location': {'lat': 61.78333329999999, 'lng': 5.6666667}, 'viewport': {'northeast': {'lat': 61.78860839999999, 'lng': 5.6826741}, 'southwest': {'lat': 61.77805730000001, 'lng': 5.6506593}}}",Askara,1,ChIJIfza_O2tF0YRHGim6SYSSZQ,True,2,find_place,OK,"Askara, Norway",1/29/2021 17:47,1.0,"['natural_feature', 'establishment']"
32W001100100233F,"Galabovo, Bulgaria","{'location': {'lat': 42.154658, 'lng': 25.9076141}, 'viewport': {'northeast': {'lat': 42.15586057989272, 'lng': 25.9107101}, 'southwest': {'lat': 42.15316092010728, 'lng': 25.9065821}}}",Brikel,1,ChIJVajXbk7jp0ARzd2Ba_MJrgc,True,2,find_place,OK,"Brikel, Bulgaria",1/29/2021 17:47,1.0,"['point_of_interest', 'establishment']"
11WD2BRKW000294C,"25576, Osterende, 25576 Brokdorf, Germany","{'location': {'lat': 53.8505665, 'lng': 9.3458223}, 'viewport': {'northeast': {'lat': 53.85168492989272, 'lng': 9.34728502989272}, 'southwest': {'lat': 53.84898527010727, 'lng': 9.344585370107277}}}",Kernkraftwerk Brokdorf,2,ChIJkxpoC57ds0cRFIkSE1EPFpk,True,1,find_place,OK,"Brokdorf nuclear plant, Germany",1/29/2021 17:47,0.533333333,"['point_of_interest', 'establishment']"
26WIMPI-S18TECTL,"Via Giovanni Boccaccio, 38, 50041 Calenzano FI, Italy","{'location': {'lat': 43.8494267, 'lng': 11.1751462}, 'viewport': {'northeast': {'lat': 43.85077652989271, 'lng': 11.17649602989272}, 'southwest': {'lat': 43.84807687010726, 'lng': 11.17379637010728}}}",CDR Italy,1,ChIJxVfB8OJXKhMR15tKzXsD0-8,True,2,find_place,OK,"Cdr, Italy",1/29/2021 17:47,0.5,"['point_of_interest', 'establishment']"
26WIMPI-S02CHTLS,"11024 Châtillon, Aosta Valley, Italy","{'location': {'lat': 45.7485816, 'lng': 7.6128015}, 'viewport': {'northeast': {'lat': 45.7596193, 'lng': 7.640771199999999}, 'southwest': {'lat': 45.7418088, 'lng': 7.5932102}}}",Châtillon,1,ChIJSb4yV5nGiEcRDNv3-WMSszo,True,2,find_place,OK,"Chatillon, Italy",1/29/2021 17:47,0.8888888890000001,"['locality', 'political']"
26WIMPI-S01CRGEA,"28866 Crego, Province of Verbano-Cusio-Ossola, Italy","{'location': {'lat': 46.2562721, 'lng': 8.3404354}, 'viewport': {'northeast': {'lat': 46.25719797989272, 'lng': 8.341716929892721}, 'southwest': {'lat': 46.25449832010728, 'lng': 8.339017270107277}}}",Crego,1,ChIJMZC1EFqMhUcRsmZ45rNRnnk,True,2,find_place,OK,"Crego, Italy",1/29/2021 17:47,1.0,"['locality', 'political']"
26WIMPI-S19APGPP,"Nice, France","{'location': {'lat': 43.7101728, 'lng': 7.261953200000001}, 'viewport': {'northeast': {'lat': 43.760905, 'lng': 7.323481099999999}, 'southwest': {'lat': 43.6454759, 'lng': 7.182153}}}",Nice,1,ChIJMS2FahDQzRIRcJqX_aUZCAQ,True,4,find_place,BUST,"Nuce, Italy",1/29/2021 17:47,0.6315789470000001,"['locality', 'political']"
14WLSG-1SUED---5,"Lunzerstraße 90, 4030 Linz, Austria","{'location': {'lat': 48.267835, 'lng': 14.3468105}, 'viewport': {'northeast': {'lat': 48.26943957989273, 'lng': 14.34792647989272}, 'southwest': {'lat': 48.26673992010728, 'lng': 14.34522682010728}}}",Fernheizkraftwerk Linz-Süd,1,ChIJnfYNgwy9c0cR0qd9RslGeNY,True,1,find_place,OK,"Fhkw Linz Süd gas-fired power station, Austria",1/29/2021 17:47,0.514285714,"['point_of_interest', 'establishment']"
