set_key,dataset,gt_set,mod_time,truth_status,names
BNA0485 | BNA0486,OPSD_DE,"{'BNA0485', 'BNA0486'}",1/12/2021 10:46,P,
BNA0516 | BNA0517,OPSD_DE,"{'BNA0516', 'BNA0517'}",1/12/2021 10:46,P,
BNA0518a | BNA0518b,OPSD_DE,"{'BNA0518a', 'BNA0518b'}",1/12/2021 10:46,P,
BNA0545 | BNA1818,OPSD_DE,"{'BNA1818', 'BNA0545'}",1/12/2021 10:46,P,
BNA0546 | BNA1182,OPSD_DE,"{'BNA1182', 'BNA0546'}",1/12/2021 10:46,P,
BNA0548a | BNA0548b,OPSD_DE,"{'BNA0548b', 'BNA0548a'}",1/12/2021 10:46,P,
BNA0556a | BNA0556b,OPSD_DE,"{'BNA0556a', 'BNA0556b'}",1/12/2021 10:46,P,
BNA0567a | BNA0567b,OPSD_DE,"{'BNA0567a', 'BNA0567b'}",1/12/2021 10:46,P,
BNA0590 | BNA0591,OPSD_DE,"{'BNA0591', 'BNA0590'}",1/12/2021 10:46,P,
BNA0593 | BNA0594 | BNA0595,OPSD_DE,"{'BNA0595', 'BNA0594', 'BNA0593'}",1/12/2021 10:46,P,
BNA0597 | BNA0598b,OPSD_DE,"{'BNA0597', 'BNA0598b'}",1/12/2021 10:46,P,
BNA0602 | BNA0603 | BNA0604 | BNA0605 | BNA0606,OPSD_DE,"{'BNA0604', 'BNA0606', 'BNA0605', 'BNA0603', 'BNA0602'}",1/12/2021 10:46,P,
BNA0614a | BNA0614b,OPSD_DE,"{'BNA0614a', 'BNA0614b'}",1/12/2021 10:46,P,
BNA0618 | BNA0619 | BNA1508,OPSD_DE,"{'BNA1508', 'BNA0618', 'BNA0619'}",1/12/2021 10:46,P,
BNA0622 | BNA0623,OPSD_DE,"{'BNA0622', 'BNA0623'}",1/12/2021 10:46,P,
BNA0626 | BNA0627,OPSD_DE,"{'BNA0626', 'BNA0627'}",1/12/2021 10:46,P,
BNA0640 | BNA0641a | BNA0641b | BNA0641c,OPSD_DE,"{'BNA0641a', 'BNA0641c', 'BNA0641b', 'BNA0640'}",1/12/2021 10:46,P,
BNA0644 | BNA0645 | BNA0646a | BNA0646b,OPSD_DE,"{'BNA0644', 'BNA0645', 'BNA0646b', 'BNA0646a'}",1/12/2021 10:46,P,
BNA0647 | BNA0648 | BNA0649,OPSD_DE,"{'BNA0647', 'BNA0648', 'BNA0649'}",1/12/2021 10:46,P,
BNA0683a | BNA0683b | BNA0683c | BNA0684a | BNA0684b | BNA0684c,OPSD_DE,"{'BNA0683b', 'BNA0684b', 'BNA0684c', 'BNA0684a', 'BNA0683c', 'BNA0683a'}",1/12/2021 10:46,P,
BNA0696 | BNA0697 | BNA0698 | BNA0699 | BNA0700,OPSD_DE,"{'BNA0696', 'BNA0697', 'BNA0700', 'BNA0698', 'BNA0699'}",1/12/2021 10:46,P,
BNA0705 | BNA0706 | BNA0707 | BNA0708 | BNA0709 | BNA0712 | BNA0713,OPSD_DE,"{'BNA0707', 'BNA0712', 'BNA0713', 'BNA0708', 'BNA0706', 'BNA0705', 'BNA0709'}",1/12/2021 10:46,P,
BNA0734 | BNA0738 | BNA0739 | BNA0740 | BNA0741,OPSD_DE,"{'BNA0741', 'BNA0740', 'BNA0734', 'BNA0739', 'BNA0738'}",1/12/2021 10:46,P,
BNA0742 | BNA0743,OPSD_DE,"{'BNA0743', 'BNA0742'}",1/12/2021 10:46,P,
BNA0744 | BNA0745,OPSD_DE,"{'BNA0744', 'BNA0745'}",1/12/2021 10:46,P,
BNA0750 | BNA0751,OPSD_DE,"{'BNA0751', 'BNA0750'}",1/12/2021 10:46,P,
BNA0755a | BNA0755b,OPSD_DE,"{'BNA0755b', 'BNA0755a'}",1/12/2021 10:46,P,
BNA0777 | BNA0778,OPSD_DE,"{'BNA0777', 'BNA0778'}",1/12/2021 10:46,P,
BNA0779 | BNA1910,OPSD_DE,"{'BNA1910', 'BNA0779'}",1/12/2021 10:46,P,
BNA0785 | BNA0786 | BNA0787 | BNA0788 | BNA0789 | BNA0790,OPSD_DE,"{'BNA0787', 'BNA0789', 'BNA0785', 'BNA0786', 'BNA0790', 'BNA0788'}",1/12/2021 10:46,P,
BNA0804a | BNA0804b,OPSD_DE,"{'BNA0804a', 'BNA0804b'}",1/12/2021 10:46,P,
BNA0842a | BNA0842b | BNA0843,OPSD_DE,"{'BNA0842b', 'BNA0843', 'BNA0842a'}",1/12/2021 10:46,P,
BNA0863 | BNA0864 | BNA0865b,OPSD_DE,"{'BNA0864', 'BNA0865b', 'BNA0863'}",1/12/2021 10:46,P,
BNA0878 | BNA0879,OPSD_DE,"{'BNA0879', 'BNA0878'}",1/12/2021 10:46,P,
BNA0894a | BNA0894b | BNA0894c | BNA0894d | BNA0894e,OPSD_DE,"{'BNA0894a', 'BNA0894c', 'BNA0894b', 'BNA0894d', 'BNA0894e'}",1/12/2021 10:46,P,
BNA0914 | BNA0915,OPSD_DE,"{'BNA0914', 'BNA0915'}",1/12/2021 10:46,P,
BNA0935 | BNA0936,OPSD_DE,"{'BNA0936', 'BNA0935'}",1/12/2021 10:46,P,
BNA0937 | BNA0938 | BNA0939b,OPSD_DE,"{'BNA0938', 'BNA0937', 'BNA0939b'}",1/12/2021 10:46,P,
BNA0946a | BNA0946b | BNA0946c | BNA0953,OPSD_DE,"{'BNA0953', 'BNA0946c', 'BNA0946a', 'BNA0946b'}",1/12/2021 10:46,P,
BNA0969a | BNA0969c,OPSD_DE,"{'BNA0969c', 'BNA0969a'}",1/12/2021 10:46,P,
BNA0972 | BNA0973,OPSD_DE,"{'BNA0972', 'BNA0973'}",1/12/2021 10:46,P,
BNA0974 | BNA0975,OPSD_DE,"{'BNA0974', 'BNA0975'}",1/12/2021 10:46,P,
BNA0978 | BNA0979 | BNA0980 | BNA0981 | BNA0982 | BNA0983 | BNA0984 | BNA0985 | BNA0986 | BNA0987 | BNA1675,OPSD_DE,"{'BNA0978', 'BNA0981', 'BNA0986', 'BNA1675', 'BNA0984', 'BNA0987', 'BNA0983', 'BNA0982', 'BNA0980', 'BNA0979', 'BNA0985'}",1/12/2021 10:46,P,
BNA0994 | BNA0995,OPSD_DE,"{'BNA0995', 'BNA0994'}",1/12/2021 10:46,P,
BNA1005 | BNA1006,OPSD_DE,"{'BNA1006', 'BNA1005'}",1/12/2021 10:46,P,
BNA1015 | BNA1016,OPSD_DE,"{'BNA1015', 'BNA1016'}",1/12/2021 10:46,P,
BNA1023 | BNA1024,OPSD_DE,"{'BNA1023', 'BNA1024'}",1/12/2021 10:46,P,
BNA1025 | BNA1026 | BNA1027 | BNA1028,OPSD_DE,"{'BNA1027', 'BNA1028', 'BNA1025', 'BNA1026'}",1/12/2021 10:46,P,
BNA1039 | BNA1040 | BNA1042 | BNA1045 | BNA1046b,OPSD_DE,"{'BNA1042', 'BNA1046b', 'BNA1045', 'BNA1040', 'BNA1039'}",1/12/2021 10:46,P,
BNA1061 | BNA1674,OPSD_DE,"{'BNA1674', 'BNA1061'}",1/12/2021 10:46,P,
BNA1085 | BNA1086 | BNA1087 | BNA1088,OPSD_DE,"{'BNA1088', 'BNA1087', 'BNA1085', 'BNA1086'}",1/12/2021 10:46,P,
BNA1120 | BNA1121,OPSD_DE,"{'BNA1121', 'BNA1120'}",1/12/2021 10:46,P,
BNA1154 | BNA1155,OPSD_DE,"{'BNA1154', 'BNA1155'}",1/12/2021 10:46,P,
BNA1186a | BNA1186b | BNA1186c | BNA1186d | BNA1186e,OPSD_DE,"{'BNA1186b', 'BNA1186a', 'BNA1186c', 'BNA1186d', 'BNA1186e'}",1/12/2021 10:46,P,
BNA1248a | BNA1248b,OPSD_DE,"{'BNA1248b', 'BNA1248a'}",1/12/2021 10:46,P,
BNA1327a | BNA1327b | BNA1678,OPSD_DE,"{'BNA1327a', 'BNA1327b', 'BNA1678'}",1/12/2021 10:46,P,
BNA1333a | BNA1333b | BNA1333c,OPSD_DE,"{'BNA1333a', 'BNA1333b', 'BNA1333c'}",1/12/2021 10:46,P,
BNA1335a | BNA1335b,OPSD_DE,"{'BNA1335a', 'BNA1335b'}",1/12/2021 10:46,P,
BNA1337b | BNA1337c,OPSD_DE,"{'BNA1337c', 'BNA1337b'}",1/12/2021 10:46,P,
BNA1401a | BNA1401b,OPSD_DE,"{'BNA1401a', 'BNA1401b'}",1/12/2021 10:46,P,
BNA1405b | BNA1405c,OPSD_DE,"{'BNA1405c', 'BNA1405b'}",1/12/2021 10:46,P,
BNA1449a | BNA1449b,OPSD_DE,"{'BNA1449a', 'BNA1449b'}",1/12/2021 10:46,P,
BNA1523a | BNA1523b,OPSD_DE,"{'BNA1523b', 'BNA1523a'}",1/12/2021 10:46,P,
BNA1558 | BNA1673,OPSD_DE,"{'BNA1558', 'BNA1673'}",1/12/2021 10:46,P,
BNA1861 | BNA1862,OPSD_DE,"{'BNA1862', 'BNA1861'}",1/12/2021 10:46,P,
CARMA10087 | CARMA10088,CARMA,"{'CARMA10088', 'CARMA10087'}",1/12/2021 10:46,P,
CARMA10243 | CARMA10245 | CARMA4389,CARMA,"{'CARMA10245', 'CARMA10243', 'CARMA4389'}",1/12/2021 10:46,P,
CARMA10364 | CARMA10543 | CARMA9232,CARMA,"{'CARMA9232', 'CARMA10543', 'CARMA10364'}",1/12/2021 10:46,P,
CARMA10399 | CARMA62181,CARMA,"{'CARMA10399', 'CARMA62181'}",1/12/2021 10:46,P,
CARMA1083 | CARMA7716,CARMA,"{'CARMA7716', 'CARMA1083'}",1/12/2021 10:46,P,
CARMA10945 | CARMA10946,CARMA,"{'CARMA10946', 'CARMA10945'}",1/12/2021 10:46,P,
CARMA10968 | CARMA10969,CARMA,"{'CARMA10969', 'CARMA10968'}",1/12/2021 10:46,P,
CARMA11053 | CARMA38930,CARMA,"{'CARMA11053', 'CARMA38930'}",1/12/2021 10:46,P,
CARMA1111 | CARMA766,CARMA,"{'CARMA1111', 'CARMA766'}",1/16/2021 13:23,X,[ALTA CARNIA | ALA]
CARMA11327 | CARMA65697,CARMA,"{'CARMA11327', 'CARMA65697'}",1/12/2021 10:46,P,
CARMA11456 | CARMA9765,CARMA,"{'CARMA11456', 'CARMA9765'}",1/12/2021 10:46,P,
CARMA11965 | CARMA11966,CARMA,"{'CARMA11966', 'CARMA11965'}",1/12/2021 10:46,P,
CARMA1198 | CARMA1199 | CARMA1200,CARMA,"{'CARMA1198', 'CARMA1200', 'CARMA1199'}",1/12/2021 10:46,P,
CARMA11998 | CARMA11999,CARMA,"{'CARMA11998', 'CARMA11999'}",1/12/2021 10:46,P,
CARMA12029 | CARMA23639,CARMA,"{'CARMA12029', 'CARMA23639'}",1/12/2021 10:46,P,
CARMA12030 | CARMA31877,CARMA,"{'CARMA12030', 'CARMA31877'}",1/16/2021 16:22,X,[EL CASTILLEJO | NUEVO CASTILLO]
CARMA12064 | CARMA8549,CARMA,"{'CARMA8549', 'CARMA12064'}",1/12/2021 10:46,P,
CARMA1233 | CARMA65030,CARMA,"{'CARMA65030', 'CARMA1233'}",1/12/2021 10:46,P,
CARMA12383 | CARMA23871,CARMA,"{'CARMA23871', 'CARMA12383'}",1/12/2021 10:46,P,
CARMA12439 | CARMA12440,CARMA,"{'CARMA12440', 'CARMA12439'}",1/12/2021 10:46,P,
CARMA12477 | CARMA12478,CARMA,"{'CARMA12477', 'CARMA12478'}",1/12/2021 10:46,P,
CARMA12542 | CARMA38112,CARMA,"{'CARMA12542', 'CARMA38112'}",1/12/2021 10:46,P,
CARMA12572 | CARMA23795,CARMA,"{'CARMA12572', 'CARMA23795'}",1/12/2021 10:46,P,
CARMA12616 | CARMA12626,CARMA,"{'CARMA12626', 'CARMA12616'}",1/12/2021 10:46,P,
CARMA12698 | CARMA12699,CARMA,"{'CARMA12699', 'CARMA12698'}",1/12/2021 10:46,P,
CARMA12709 | CARMA47629,CARMA,"{'CARMA47629', 'CARMA12709'}",1/12/2021 10:46,P,
CARMA13234 | CARMA13235,CARMA,"{'CARMA13235', 'CARMA13234'}",1/12/2021 10:46,P,
CARMA13337 | CARMA13339 | CARMA7650,CARMA,"{'CARMA7650', 'CARMA13339', 'CARMA13337'}",1/16/2021 17:25,U,[FERRARA MILL | CEF (FERRARA) | FERRARA SUGAR MILL]
CARMA13374 | CARMA13375,CARMA,"{'CARMA13374', 'CARMA13375'}",1/12/2021 10:46,P,
CARMA13498 | CARMA33169,CARMA,"{'CARMA13498', 'CARMA33169'}",1/12/2021 10:46,P,
CARMA13599 | CARMA13606 | CARMA13607,CARMA,"{'CARMA13606', 'CARMA13599', 'CARMA13607'}",1/12/2021 10:46,P,
CARMA13686 | CARMA13687 | CARMA51812,CARMA,"{'CARMA13686', 'CARMA51812', 'CARMA13687'}",1/12/2021 10:46,P,
CARMA13862 | CARMA13866,CARMA,"{'CARMA13866', 'CARMA13862'}",1/12/2021 10:46,P,
CARMA13880 | CARMA13885,CARMA,"{'CARMA13880', 'CARMA13885'}",1/12/2021 10:46,P,
CARMA13925 | CARMA13926,CARMA,"{'CARMA13925', 'CARMA13926'}",1/12/2021 10:46,P,
CARMA14014 | CARMA14016,CARMA,"{'CARMA14016', 'CARMA14014'}",1/12/2021 10:46,P,
CARMA1413 | CARMA54802 | CARMA61006,CARMA,"{'CARMA61006', 'CARMA54802', 'CARMA1413'}",1/12/2021 10:46,P,
CARMA14140 | CARMA59676,CARMA,"{'CARMA59676', 'CARMA14140'}",1/12/2021 10:46,P,
CARMA14194 | CARMA14195,CARMA,"{'CARMA14194', 'CARMA14195'}",1/12/2021 10:46,P,
CARMA14495 | CARMA14502,CARMA,"{'CARMA14502', 'CARMA14495'}",1/12/2021 10:46,P,
CARMA1464 | CARMA36582,CARMA,"{'CARMA36582', 'CARMA1464'}",1/16/2021 13:23,X,[ANCE-DU-NORD | RANCE]
CARMA14743 | CARMA24980,CARMA,"{'CARMA14743', 'CARMA24980'}",1/12/2021 10:46,P,
CARMA14827 | CARMA14830,CARMA,"{'CARMA14830', 'CARMA14827'}",1/12/2021 10:46,P,
CARMA15468 | CARMA31659 | CARMA8743,CARMA,"{'CARMA31659', 'CARMA8743', 'CARMA15468'}",1/12/2021 10:46,P,
CARMA15542 | CARMA15543,CARMA,"{'CARMA15543', 'CARMA15542'}",1/12/2021 10:46,P,
CARMA15546 | CARMA61008,CARMA,"{'CARMA15546', 'CARMA61008'}",1/12/2021 10:46,P,
CARMA15571 | CARMA40209,CARMA,"{'CARMA40209', 'CARMA15571'}",1/12/2021 10:46,P,
CARMA15651 | CARMA15652,CARMA,"{'CARMA15652', 'CARMA15651'}",1/12/2021 10:46,P,
CARMA1575 | CARMA24540,CARMA,"{'CARMA1575', 'CARMA24540'}",1/12/2021 10:46,P,
CARMA15775 | CARMA36537,CARMA,"{'CARMA15775', 'CARMA36537'}",1/12/2021 10:46,P,
CARMA15936 | CARMA23658 | CARMA65827,CARMA,"{'CARMA23658', 'CARMA65827', 'CARMA15936'}",1/12/2021 10:46,P,
CARMA15950 | CARMA15951,CARMA,"{'CARMA15950', 'CARMA15951'}",1/12/2021 10:46,P,
CARMA16282 | CARMA16283,CARMA,"{'CARMA16283', 'CARMA16282'}",1/12/2021 10:46,P,
CARMA16324 | CARMA49158,CARMA,"{'CARMA49158', 'CARMA16324'}",1/12/2021 10:46,P,
CARMA1651 | CARMA38650,CARMA,"{'CARMA38650', 'CARMA1651'}",1/12/2021 10:46,P,
CARMA16719 | CARMA16720,CARMA,"{'CARMA16720', 'CARMA16719'}",1/12/2021 10:46,P,
CARMA16736 | CARMA16737,CARMA,"{'CARMA16736', 'CARMA16737'}",1/12/2021 10:46,P,
CARMA16777 | CARMA16778 | CARMA16779,CARMA,"{'CARMA16777', 'CARMA16778', 'CARMA16779'}",1/12/2021 10:46,P,
CARMA17058 | CARMA60840,CARMA,"{'CARMA17058', 'CARMA60840'}",1/12/2021 10:46,P,
CARMA17101 | CARMA17102,CARMA,"{'CARMA17102', 'CARMA17101'}",1/12/2021 10:46,P,
CARMA17128 | CARMA20766,CARMA,"{'CARMA17128', 'CARMA20766'}",1/12/2021 10:46,P,
CARMA17151 | CARMA64386,CARMA,"{'CARMA64386', 'CARMA17151'}",1/12/2021 10:46,P,
CARMA17153 | CARMA35208,CARMA,"{'CARMA35208', 'CARMA17153'}",1/16/2021 13:23,X,[HAUT-LAVAL | PONT-HAUT]
CARMA17171 | CARMA17172,CARMA,"{'CARMA17172', 'CARMA17171'}",1/12/2021 10:46,P,
CARMA17341 | CARMA17344,CARMA,"{'CARMA17344', 'CARMA17341'}",1/12/2021 10:46,P,
CARMA17645 | CARMA17646,CARMA,"{'CARMA17645', 'CARMA17646'}",1/12/2021 10:46,P,
CARMA17692 | CARMA17708,CARMA,"{'CARMA17692', 'CARMA17708'}",1/16/2021 13:23,X,[HIGH HEAVENS LANDFILL | HIGH WYCOMBE THAMES]
CARMA1775 | CARMA22841,CARMA,"{'CARMA22841', 'CARMA1775'}",1/12/2021 10:46,P,
CARMA18146 | CARMA18153,CARMA,"{'CARMA18153', 'CARMA18146'}",1/12/2021 10:46,P,
CARMA18244 | CARMA18245,CARMA,"{'CARMA18244', 'CARMA18245'}",1/12/2021 10:46,P,
CARMA18569 | CARMA38157,CARMA,"{'CARMA38157', 'CARMA18569'}",1/12/2021 10:46,P,
CARMA1873 | CARMA29221,CARMA,"{'CARMA1873', 'CARMA29221'}",1/12/2021 10:46,P,
CARMA188 | CARMA189,CARMA,"{'CARMA188', 'CARMA189'}",1/12/2021 10:46,P,
CARMA19133 | CARMA19134,CARMA,"{'CARMA19134', 'CARMA19133'}",1/12/2021 10:46,P,
CARMA19390 | CARMA19392,CARMA,"{'CARMA19390', 'CARMA19392'}",1/12/2021 10:46,P,
CARMA194 | CARMA196,CARMA,"{'CARMA194', 'CARMA196'}",1/12/2021 10:46,P,
CARMA19413 | CARMA19414,CARMA,"{'CARMA19413', 'CARMA19414'}",1/12/2021 10:46,P,
CARMA19580 | CARMA65986,CARMA,"{'CARMA65986', 'CARMA19580'}",1/12/2021 10:46,P,
CARMA19800 | CARMA31441,CARMA,"{'CARMA19800', 'CARMA31441'}",1/16/2021 13:23,X,[NOMELAND | IVELAND]
CARMA19909 | CARMA19910,CARMA,"{'CARMA19910', 'CARMA19909'}",1/12/2021 10:46,P,
CARMA1996 | CARMA1997,CARMA,"{'CARMA1997', 'CARMA1996'}",1/12/2021 10:46,P,
CARMA20067 | CARMA20068,CARMA,"{'CARMA20068', 'CARMA20067'}",1/12/2021 10:46,P,
CARMA20139 | CARMA20140,CARMA,"{'CARMA20140', 'CARMA20139'}",1/12/2021 10:46,P,
CARMA20504 | CARMA20505 | CARMA23752,CARMA,"{'CARMA23752', 'CARMA20505', 'CARMA20504'}",1/16/2021 13:23,X,[JONCHE | JONCET | LA JONCHE]
CARMA20518 | CARMA9896,CARMA,"{'CARMA9896', 'CARMA20518'}",1/12/2021 10:46,P,
CARMA20548 | CARMA23754,CARMA,"{'CARMA20548', 'CARMA23754'}",1/12/2021 10:46,P,
CARMA2058 | CARMA2059,CARMA,"{'CARMA2059', 'CARMA2058'}",1/12/2021 10:46,P,
CARMA20620 | CARMA20621,CARMA,"{'CARMA20621', 'CARMA20620'}",1/12/2021 10:46,P,
CARMA20953 | CARMA42283,CARMA,"{'CARMA20953', 'CARMA42283'}",1/12/2021 10:46,P,
CARMA21331 | CARMA36849,CARMA,"{'CARMA21331', 'CARMA36849'}",1/12/2021 10:46,P,
CARMA2145 | CARMA64420,CARMA,"{'CARMA64420', 'CARMA2145'}",1/12/2021 10:46,P,
CARMA21485 | CARMA21486,CARMA,"{'CARMA21485', 'CARMA21486'}",1/12/2021 10:46,P,
CARMA21518 | CARMA65378,CARMA,"{'CARMA65378', 'CARMA21518'}",1/16/2021 13:23,X,[KAUKAS MILL | KAUVO]
CARMA2164 | CARMA2165,CARMA,"{'CARMA2164', 'CARMA2165'}",1/12/2021 10:46,P,
CARMA217 | CARMA218,CARMA,"{'CARMA217', 'CARMA218'}",1/12/2021 10:46,P,
CARMA22230 | CARMA22231,CARMA,"{'CARMA22230', 'CARMA22231'}",1/12/2021 10:46,P,
CARMA22434 | CARMA22435,CARMA,"{'CARMA22434', 'CARMA22435'}",1/12/2021 10:46,P,
CARMA2253 | CARMA37883,CARMA,"{'CARMA37883', 'CARMA2253'}",1/16/2021 13:23,X,[ASCOLI PORTA ROMANA | ROMANAZZI]
CARMA22634 | CARMA22635,CARMA,"{'CARMA22635', 'CARMA22634'}",1/12/2021 10:46,P,
CARMA22810 | CARMA22811,CARMA,"{'CARMA22811', 'CARMA22810'}",1/12/2021 10:46,P,
CARMA22929 | CARMA22931,CARMA,"{'CARMA22931', 'CARMA22929'}",1/12/2021 10:46,P,
CARMA23098 | CARMA23099,CARMA,"{'CARMA23098', 'CARMA23099'}",1/12/2021 10:46,P,
CARMA23122 | CARMA5065 | CARMA5071,CARMA,"{'CARMA5071', 'CARMA5065', 'CARMA23122'}",1/12/2021 10:46,P,
CARMA23230 | CARMA23437,CARMA,"{'CARMA23437', 'CARMA23230'}",1/12/2021 10:46,P,
CARMA23365 | CARMA23367,CARMA,"{'CARMA23367', 'CARMA23365'}",1/12/2021 10:46,P,
CARMA23575 | CARMA23581,CARMA,"{'CARMA23575', 'CARMA23581'}",1/12/2021 10:46,P,
CARMA23589 | CARMA35204,CARMA,"{'CARMA35204', 'CARMA23589'}",1/12/2021 10:46,P,
CARMA23601 | CARMA23602,CARMA,"{'CARMA23602', 'CARMA23601'}",1/12/2021 10:46,P,
CARMA2363 | CARMA2364,CARMA,"{'CARMA2364', 'CARMA2363'}",1/12/2021 10:46,P,
CARMA23643 | CARMA8041,CARMA,"{'CARMA23643', 'CARMA8041'}",1/12/2021 10:46,P,
CARMA23667 | CARMA9226,CARMA,"{'CARMA9226', 'CARMA23667'}",1/16/2021 17:25,U,[LA CONFIANZA CONFIREL | CONFIREL MILL]
CARMA23683 | CARMA5136,CARMA,"{'CARMA5136', 'CARMA23683'}",1/16/2021 13:23,X,[BOIS-DE-CURE | LA CURE]
CARMA23794 | CARMA31851,CARMA,"{'CARMA23794', 'CARMA31851'}",1/12/2021 10:46,P,
CARMA23886 | CARMA39877,CARMA,"{'CARMA23886', 'CARMA39877'}",1/12/2021 10:46,P,
CARMA24043 | CARMA24044,CARMA,"{'CARMA24044', 'CARMA24043'}",1/12/2021 10:46,P,
CARMA24356 | CARMA60860,CARMA,"{'CARMA24356', 'CARMA60860'}",1/12/2021 10:46,P,
CARMA24413 | CARMA31944,CARMA,"{'CARMA31944', 'CARMA24413'}",1/12/2021 10:46,P,
CARMA24449 | CARMA63970,CARMA,"{'CARMA63970', 'CARMA24449'}",1/12/2021 10:46,P,
CARMA24554 | CARMA28411,CARMA,"{'CARMA24554', 'CARMA28411'}",1/12/2021 10:46,P,
CARMA24682 | CARMA24683,CARMA,"{'CARMA24682', 'CARMA24683'}",1/12/2021 10:46,P,
CARMA24736 | CARMA8236,CARMA,"{'CARMA24736', 'CARMA8236'}",1/12/2021 10:46,P,
CARMA24756 | CARMA38097,CARMA,"{'CARMA38097', 'CARMA24756'}",1/12/2021 10:46,P,
CARMA24759 | CARMA35556,CARMA,"{'CARMA24759', 'CARMA35556'}",1/12/2021 10:46,P,
CARMA24760 | CARMA35200,CARMA,"{'CARMA35200', 'CARMA24760'}",1/12/2021 10:46,P,
CARMA24767 | CARMA39965,CARMA,"{'CARMA24767', 'CARMA39965'}",1/16/2021 13:23,X,[LE SAUTET | SAUT-DE-VESOLLES]
CARMA24770 | CARMA34857,CARMA,"{'CARMA24770', 'CARMA34857'}",1/16/2021 16:22,X,[LE TEICH | PLAN-DU-TECH]
CARMA24774 | CARMA24775,CARMA,"{'CARMA24775', 'CARMA24774'}",1/12/2021 10:46,P,
CARMA24820 | CARMA57796,CARMA,"{'CARMA24820', 'CARMA57796'}",1/16/2021 13:23,X,[LEDRA-SAN MARIA | VILLA SANTA MARIA]
CARMA25075 | CARMA65788,CARMA,"{'CARMA25075', 'CARMA65788'}",1/12/2021 10:46,P,
CARMA25362 | CARMA25363 | CARMA25365,CARMA,"{'CARMA25365', 'CARMA25362', 'CARMA25363'}",1/12/2021 10:46,P,
CARMA25367 | CARMA45678,CARMA,"{'CARMA25367', 'CARMA45678'}",1/12/2021 10:46,P,
CARMA25373 | CARMA25374,CARMA,"{'CARMA25373', 'CARMA25374'}",1/12/2021 10:46,P,
CARMA25489 | CARMA25492,CARMA,"{'CARMA25489', 'CARMA25492'}",1/12/2021 10:46,P,
CARMA25561 | CARMA34810,CARMA,"{'CARMA25561', 'CARMA34810'}",1/12/2021 10:46,P,
CARMA25563 | CARMA59278,CARMA,"{'CARMA25563', 'CARMA59278'}",1/12/2021 10:46,P,
CARMA25606 | CARMA25607 | CARMA25608,CARMA,"{'CARMA25606', 'CARMA25608', 'CARMA25607'}",1/12/2021 10:46,P,
CARMA2567 | CARMA2568 | CARMA2569,CARMA,"{'CARMA2568', 'CARMA2567', 'CARMA2569'}",1/12/2021 10:46,P,
CARMA25740 | CARMA64291,CARMA,"{'CARMA64291', 'CARMA25740'}",1/16/2021 13:23,X,[LONG HILL | LONG PARK]
CARMA25788 | CARMA63004,CARMA,"{'CARMA25788', 'CARMA63004'}",1/12/2021 10:46,P,
CARMA25892 | CARMA25893,CARMA,"{'CARMA25893', 'CARMA25892'}",1/12/2021 10:46,P,
CARMA25911 | CARMA40237,CARMA,"{'CARMA25911', 'CARMA40237'}",1/12/2021 10:46,P,
CARMA26120 | CARMA26121,CARMA,"{'CARMA26120', 'CARMA26121'}",1/12/2021 10:46,P,
CARMA26525 | CARMA347,CARMA,"{'CARMA26525', 'CARMA347'}",1/16/2021 13:23,X,[MADRID TOLSA | TOLOSA MILL]
CARMA26580 | CARMA26581,CARMA,"{'CARMA26581', 'CARMA26580'}",1/16/2021 13:23,X,[BOFFALORA MAGENTA | MAGENTA MILL]
CARMA26595 | CARMA28904,CARMA,"{'CARMA28904', 'CARMA26595'}",1/12/2021 10:46,P,
CARMA26603 | CARMA26604 | CARMA26605 | CARMA26606,CARMA,"{'CARMA26606', 'CARMA26605', 'CARMA26603', 'CARMA26604'}",1/12/2021 10:46,P,
CARMA26806 | CARMA65905,CARMA,"{'CARMA26806', 'CARMA65905'}",1/12/2021 10:46,P,
CARMA26934 | CARMA26935,CARMA,"{'CARMA26935', 'CARMA26934'}",1/12/2021 10:46,P,
CARMA27066 | CARMA27067,CARMA,"{'CARMA27067', 'CARMA27066'}",1/12/2021 10:46,P,
CARMA27220 | CARMA27221 | CARMA27222 | CARMA27223,CARMA,"{'CARMA27222', 'CARMA27221', 'CARMA27220', 'CARMA27223'}",1/12/2021 10:46,P,
CARMA27298 | CARMA49258,CARMA,"{'CARMA27298', 'CARMA49258'}",1/12/2021 10:46,P,
CARMA27519 | CARMA27520,CARMA,"{'CARMA27519', 'CARMA27520'}",1/12/2021 10:46,P,
CARMA27531 | CARMA65540,CARMA,"{'CARMA65540', 'CARMA27531'}",1/12/2021 10:46,P,
CARMA27631 | CARMA39302,CARMA,"{'CARMA39302', 'CARMA27631'}",1/12/2021 10:46,P,
CARMA27701 | CARMA65599,CARMA,"{'CARMA65599', 'CARMA27701'}",1/12/2021 10:46,P,
CARMA27850 | CARMA27851,CARMA,"{'CARMA27851', 'CARMA27850'}",1/12/2021 10:46,P,
CARMA27994 | CARMA27996,CARMA,"{'CARMA27996', 'CARMA27994'}",1/12/2021 10:46,P,
CARMA28443 | CARMA28444,CARMA,"{'CARMA28444', 'CARMA28443'}",1/12/2021 10:46,P,
CARMA28756 | CARMA4170,CARMA,"{'CARMA4170', 'CARMA28756'}",1/12/2021 10:46,P,
