set_key,dataset,gt_set,mod_time,truth_status,names
17W100P100P0236G | 17W100P100P0237E,ENTSOE,"{'17W100P100P0237E', '17W100P100P0236G'}",1/12/2021 10:46,P,
17W100P100P0245F | 17W100P100P0246D,ENTSOE,"{'17W100P100P0245F', '17W100P100P0246D'}",1/12/2021 10:46,P,
17W100P100P02497 | 17W100P100P0250M,ENTSOE,"{'17W100P100P02497', '17W100P100P0250M'}",1/12/2021 10:46,P,
17W100P100P0251K | 17W100P100P0252I | 17W100P100P0253G | 17W100P100P0254E,ENTSOE,"{'17W100P100P0253G', '17W100P100P0254E', '17W100P100P0251K', '17W100P100P0252I'}",1/12/2021 10:46,P,
17W100P100P0255C | 17W100P100P0256A,ENTSOE,"{'17W100P100P0256A', '17W100P100P0255C'}",1/12/2021 10:46,P,
17W100P100P02586 | 17W100P100P0260J | 17W100P100P0261H,ENTSOE,"{'17W100P100P0261H', '17W100P100P0260J', '17W100P100P02586'}",1/12/2021 10:46,P,
17W100P100P0263D | 17W100P100P02659,ENTSOE,"{'17W100P100P02659', '17W100P100P0263D'}",1/12/2021 10:46,P,
17W100P100P02675 | 17W100P100P02683 | 17W100P100P02691,ENTSOE,"{'17W100P100P02691', '17W100P100P02683', '17W100P100P02675'}",1/12/2021 10:46,P,
17W100P100P0270G | 17W100P100P0271E,ENTSOE,"{'17W100P100P0271E', '17W100P100P0270G'}",1/12/2021 10:46,P,
17W100P100P0317G | 17W100P100P03299,ENTSOE,"{'17W100P100P03299', '17W100P100P0317G'}",1/12/2021 10:46,P,
17W100P100P0344D | 17W100P100P0345B,ENTSOE,"{'17W100P100P0344D', '17W100P100P0345B'}",1/12/2021 10:46,P,
18WABO1-12345-0X | 18WABO2-12345-0N,ENTSOE,"{'18WABO2-12345-0N', '18WABO1-12345-0X'}",1/12/2021 10:46,P,
18WAGUB-12345-0T | 18WAGUG-12345-0G,ENTSOE,"{'18WAGUB-12345-0T', '18WAGUG-12345-0G'}",1/12/2021 10:46,P,
18WALZ1-12345-0E | 18WALZ2-12345-04,ENTSOE,"{'18WALZ2-12345-04', '18WALZ1-12345-0E'}",1/12/2021 10:46,P,
18WARCOS1-123-0E | 18WARCOS2-123-06 | 18WARCOS3-123-0Z,ENTSOE,"{'18WARCOS1-123-0E', '18WARCOS3-123-0Z', '18WARCOS2-123-06'}",1/12/2021 10:46,P,
18WARRU1-1234-0J | 18WARRU2-1234-0A,ENTSOE,"{'18WARRU1-1234-0J', '18WARRU2-1234-0A'}",1/12/2021 10:46,P,
18WASC1-12345-0Z | 18WASC2-12345-0P,ENTSOE,"{'18WASC2-12345-0P', '18WASC1-12345-0Z'}",1/12/2021 10:46,P,
18WBES3-12345-0V | 18WBES4-12345-0L | 18WBES5-123456-T,ENTSOE,"{'18WBES4-12345-0L', '18WBES5-123456-T', '18WBES3-12345-0V'}",1/12/2021 10:46,P,
18WCAMGI10-12-07 | 18WCAMGI20--1-0D,ENTSOE,"{'18WCAMGI10-12-07', '18WCAMGI20--1-0D'}",1/12/2021 10:46,P,
18WCOM4-12345-0S | 18WCOM5-12345-0I,ENTSOE,"{'18WCOM4-12345-0S', '18WCOM5-12345-0I'}",1/12/2021 10:46,P,
18WCTGN1-1234-0C | 18WCTGN2-1234-03 | 18WCTGN3-1234-0V,ENTSOE,"{'18WCTGN3-1234-0V', '18WCTGN2-1234-03', '18WCTGN1-1234-0C'}",1/12/2021 10:46,P,
18WCTJON1-123-06 | 18WCTJON2-123-0Z | 18WCTJON3--1234S,ENTSOE,"{'18WCTJON3--1234S', '18WCTJON1-123-06', '18WCTJON2-123-0Z'}",1/12/2021 10:46,P,
18WCTN3-12345-04 | 18WCTN4-123456-C,ENTSOE,"{'18WCTN4-123456-C', '18WCTN3-12345-04'}",1/12/2021 10:46,P,
18WGUA1-12345-0T | 18WGUA2-12345-0J,ENTSOE,"{'18WGUA1-12345-0T', '18WGUA2-12345-0J'}",1/12/2021 10:46,P,
18WGUIB-12345-0Q | 18WGUIG-12345-0D,ENTSOE,"{'18WGUIG-12345-0D', '18WGUIB-12345-0Q'}",1/12/2021 10:46,P,
18WLIT1-12345-0A | 18WLIT2-12345-00,ENTSOE,"{'18WLIT1-12345-0A', '18WLIT2-12345-00'}",1/12/2021 10:46,P,
18WMUEB-12345-0T | 18WMUEL-12345-03,ENTSOE,"{'18WMUEL-12345-03', '18WMUEB-12345-0T'}",1/12/2021 10:46,P,
18WNRC2-12345-0G | 18WNRC3-12345-06,ENTSOE,"{'18WNRC2-12345-0G', '18WNRC3-12345-06'}",1/12/2021 10:46,P,
