,CARMA,JRC
1591,1754.0,217.0
1592,1776.0,2908.0
1593,2047.0,259.0
1594,2077.0,269.0
1595,2117.0,276.0
1596,2176.0,290.0
1597,2885.0,368.0
1598,4467.0,543.0
1599,4857.0,636.0
1600,5169.0,647.0
1601,5184.0,661.0
1602,6098.0,808.0
1603,6260.0,834.0
1604,6489.0,866.0
1605,6599.0,894.0
1606,6624.0,899.0
1607,6902.0,938.0
1608,7260.0,992.0
1609,7514.0,1032.0
1610,7578.0,2758.0
1611,7731.0,1082.0
1612,7754.0,1259.0
1613,7768.0,1083.0
1614,7893.0,1102.0
1615,7896.0,1103.0
1616,8191.0,1161.0
1617,8348.0,1184.0
1618,8460.0,1195.0
1619,8474.0,1268.0
1620,8480.0,1269.0
1621,9093.0,1360.0
1622,9096.0,1361.0
1623,9263.0,1359.0
1624,9350.0,2818.0
1625,9446.0,1397.0
1626,9484.0,1401.0
1627,9631.0,1422.0
1628,9661.0,1426.0
1629,10839.0,1660.0
1630,9809.0,1451.0
1631,10076.0,1514.0
1632,10077.0,1492.0
1633,10143.0,1504.0
1634,10264.0,1533.0
1635,10277.0,1545.0
1636,10300.0,1559.0
1637,10376.0,1568.0
1638,10460.0,1578.0
1639,10502.0,1584.0
1640,10505.0,1586.0
1641,10548.0,1595.0
1642,10611.0,1610.0
1643,10682.0,1630.0
1644,10857.0,1665.0
1645,10940.0,1683.0
1646,11266.0,1725.0
1647,11270.0,1729.0
1648,11302.0,1734.0
1649,11948.0,1807.0
1650,12194.0,1852.0
1651,12280.0,1856.0
1652,12399.0,1866.0
1653,12426.0,1874.0
1654,12459.0,1878.0
1655,12769.0,1924.0
1656,13017.0,2095.0
1657,13072.0,2097.0
1658,13348.0,2056.0
1659,13375.0,2061.0
1660,13424.0,2070.0
1661,13730.0,3532.0
1662,13752.0,2131.0
1663,13775.0,2135.0
1664,14279.0,2207.0
1665,14285.0,2208.0
1666,14440.0,2225.0
1667,14985.0,2306.0
1668,14990.0,2307.0
1669,15092.0,2339.0
1670,15446.0,2381.0
1671,15465.0,2386.0
1672,15554.0,2400.0
1673,15675.0,2427.0
1674,15904.0,2473.0
1675,16296.0,2527.0
1676,16389.0,2992.0
1677,16498.0,2994.0
1678,17048.0,2697.0
1679,17068.0,2701.0
1680,17254.0,2731.0
1681,17381.0,2759.0
1682,17403.0,2764.0
1683,17432.0,2777.0
1684,17457.0,2792.0
1685,17808.0,2842.0
1686,17854.0,2856.0
1687,17872.0,2866.0
1688,17982.0,2898.0
1689,17984.0,2900.0
1690,18065.0,2915.0
1691,18073.0,2917.0
1692,18273.0,2969.0
1693,18277.0,2972.0
1694,18285.0,2978.0
1695,18483.0,3032.0
1696,18868.0,3091.0
1697,18951.0,3134.0
1698,18968.0,3108.0
1699,18976.0,3109.0
1700,19132.0,3140.0
1701,19158.0,3151.0
1702,19322.0,3199.0
1703,19384.0,3211.0
1704,19663.0,3271.0
1705,19664.0,3272.0
1706,19685.0,3378.0
1707,19938.0,3311.0
1708,19941.0,3312.0
1709,20158.0,3348.0
1710,20218.0,3361.0
1711,20982.0,3477.0
1712,16.0,1.0
1713,17.0,2.0
1714,18.0,3.0
1715,19.0,4.0
1716,87.0,12.0
1717,597.0,82.0
1718,820.0,103.0
1719,890.0,108.0
1720,979.0,3505.0
1721,1091.0,129.0
1722,1104.0,134.0
1723,1210.0,383.0
1724,1213.0,359.0
1725,1327.0,167.0
1726,1346.0,982.0
1727,1347.0,173.0
1728,1404.0,384.0
1729,19156.0,156.0
1730,1492.0,189.0
1731,1526.0,386.0
1732,1544.0,196.0
1733,1878.0,234.0
1734,1888.0,235.0
1735,1993.0,245.0
1736,2000.0,247.0
1737,2003.0,249.0
1738,2014.0,254.0
1739,2079.0,271.0
1740,2169.0,287.0
1741,2270.0,298.0
1742,2365.0,308.0
1743,2455.0,390.0
1744,2599.0,348.0
1745,2600.0,331.0
1746,2646.0,339.0
1747,2692.0,341.0
1748,2707.0,2297.0
1749,2753.0,358.0
1750,2769.0,350.0
1751,2903.0,370.0
1752,2922.0,399.0
1753,2925.0,398.0
1754,2984.0,583.0
1755,2985.0,2824.0
1756,2989.0,400.0
1757,3085.0,408.0
1758,3165.0,419.0
1759,3425.0,437.0
1760,3522.0,452.0
1761,3529.0,453.0
1762,3687.0,1633.0
1763,3708.0,465.0
1764,3717.0,468.0
1765,3719.0,470.0
1766,3722.0,3222.0
1767,3726.0,471.0
1768,3749.0,473.0
1769,3753.0,475.0
1770,3762.0,493.0
1771,3765.0,64.0
1772,3774.0,477.0
1773,3862.0,491.0
1774,3995.0,1661.0
